100133144	0.0180	0.88
100134869	0.1608	0.150
10357	-0.1420	0.200
10431	-0.0890	0.430
155060	0.2624	0.012
390284	0.0479	0.67
57714	0.0192	0.860
645851	0.22705	0.037
653553	0.1196	0.260
8225	0.0393	0.710
90288	0.0643	0.580
1	0.0669	0.540
29974	0.0976	0.360
87769	-0.1333	0.220
2	0.1065	0.310
53947	0.202	0.045
8086	0.0679	0.530
65985	-0.0452	0.680
13	0.0451	0.690
51166	-0.1906	0.064
79719	-0.0555	0.610
22848	0.0406	0.710
14	0.1375	0.210
57505	0.2259	0.031
80755	-0.0618	0.57
16	0.1759	0.10
60496	-0.0289	0.790
132949	-0.0799	0.460
10157	0.1720	0.110
26574	-0.0726	0.520
9625	0.1177	0.270
18	-0.0124	0.91
10349	-0.0952	0.410
79963	-0.0806	0.420
26154	-0.0285	0.800
154664	0.1124	0.300
650655	0.1716	0.110
19	0.0921	0.400
20	0.2013	0.070
21	0.0690	0.510
24	-0.0822	0.470
23461	-0.1542	0.160
23460	0.1243	0.250
10347	0.2654	0.016
10351	0.0715	0.500
10350	0.0244	0.830
23456	-0.1604	0.120
5243	0.00514	0.960
5244	0.0814	0.430
10058	0.0694	0.530
22	-0.0324	0.760
11194	0.0668	0.530
23457	-0.0920	0.390
89845	0.1720	0.100
85320	-0.0562	0.600
150000	-0.0141	0.900
4363	0.0239	0.830
1244	-0.0528	0.620
8714	-0.0207	0.850
10257	-0.1124	0.300
10057	0.1639	0.110
653190	0.00853	0.940
730013	-0.0740	0.500
368	-0.0902	0.410
6833	0.0770	0.510
10060	0.248	0.018
215	0.1979	0.048
225	-0.0405	0.710
5825	-0.2609	0.012
5826	0.1588	0.160
6059	-0.1641	0.130
23	0.0615	0.560
10061	0.13591	0.200
55324	0.2055	0.059
9619	0.1658	0.100
9429	0.0782	0.450
64137	0.2046	0.064
64240	-0.0141	0.900
64241	-0.00571	0.960
55347	-0.1429	0.180
83451	-0.0214	0.840
145447	0.2357	0.040
26090	0.0830	0.430
84945	-0.1598	0.14
25864	-0.0344	0.750
84836	-0.00959	0.930
116236	0.1354	0.220
84696	0.2751	0.011
11057	-0.000035	1.000
171586	-0.1790	0.100
63874	0.2557	0.023
51099	-0.2597	0.017
57406	-0.2654	0.014
79575	0.1983	0.060
10006	0.0142	0.900
10152	-0.0544	0.600
25890	0.1730	0.099
51225	0.0605	0.560
25	0.1096	0.300
27	0.2304	0.034
3983	0.0670	0.530
84448	-0.0234	0.830
22885	0.0818	0.420
28	0.0155	0.890
26	0.0786	0.480
29	0.0537	0.630
29777	0.0418	0.700
80325	0.2296	0.044
25841	0.0654	0.540
30	-0.0843	0.440
10449	-0.22365	0.038
31	-0.00393	0.970
32	0.2026	0.057
80724	0.1617	0.130
84129	0.1818	0.091
27034	-0.1020	0.32
28976	0.0587	0.590
34	-0.1724	0.094
36	-0.2074	0.044
35	-0.0472	0.650
37	0.0814	0.44
176	0.0750	0.470
9744	0.0624	0.550
23527	-0.0388	0.720
116983	0.1263	0.240
38	-0.1291	0.210
39	-0.2509	0.027
64746	-0.1054	0.330
79777	0.2380	0.020
91452	-0.0260	0.810
84320	-0.0796	0.460
414149	0.19020	0.078
40	0.0831	0.470
41	0.0146	0.890
9311	0.216	0.057
84680	0.18956	0.079
65057	0.0648	0.560
59272	-0.0123	0.910
340485	0.0928	0.380
55331	-0.1275	0.230
1636	0.2387	0.026
43	0.1229	0.230
22985	0.1340	0.230
47	-0.0508	0.660
57001	0.0272	0.800
48	-0.1785	0.110
50	-0.0437	0.670
26027	-0.1244	0.240
55856	-0.0311	0.770
641371	-0.0538	0.620
10965	-0.0188	0.870
122970	-0.0622	0.550
11332	-0.20641	0.052
10005	0.0824	0.420
23597	-0.0557	0.600
51	-0.2673	0.015
8309	0.0474	0.640
8310	-0.1594	0.150
55289	0.1102	0.320
52	-0.1240	0.270
53	0.0838	0.460
54	0.00449	0.970
51205	0.00251	0.980
92370	0.00716	0.940
55	0.0202	0.850
84519	0.1780	0.083
93953	0.1748	0.110
56	0.0323	0.78
49	0.0211	0.850
23205	0.0615	0.560
80221	0.0655	0.540
197322	0.0330	0.750
2180	-0.0409	0.700
2181	-0.0168	0.880
2182	-0.0798	0.440
51703	-0.1019	0.35
23305	-0.1642	0.130
116285	-0.0150	0.900
6296	-0.0161	0.88
54988	0.1871	0.100
84532	0.17879	0.110
55902	-0.0371	0.730
79611	0.0630	0.550
58	0.0193	0.860
59	0.189	0.059
60	0.00498	0.960
70	0.1907	0.064
71	-0.3189	0.0032
72	0.1232	0.220
86	-0.1189	0.280
81569	0.0340	0.750
87	0.1032	0.350
81	-0.0426	0.680
55860	-0.0191	0.860
10121	-0.0413	0.680
10120	0.1736	0.10
10097	-0.0734	0.510
57180	-0.0192	0.860
653857	0.0710	0.530
10096	-0.1476	0.180
79913	-0.0470	0.640
64431	-0.0413	0.700
93973	-0.1087	0.320
91	0.1093	0.340
130399	-0.00758	0.950
90	0.0175	0.860
92	0.0613	0.570
93	0.0560	0.600
94	0.00756	0.940
95	0.0143	0.900
91703	-0.0231	0.840
97	0.0258	0.810
98	-0.1073	0.340
161823	0.1607	0.140
102	0.1090	0.290
4185	0.1927	0.083
8038	0.1311	0.230
8751	-0.1012	0.360
6868	0.0554	0.600
8728	-0.0430	0.680
53616	0.0864	0.430
8745	0.0107	0.920
10863	0.0814	0.440
203102	-0.0482	0.650
80332	0.1443	0.15
8755	0.00547	0.960
101	0.2413	0.023
8754	-0.2822	0.0086
27299	0.0335	0.750
81794	0.2115	0.047
81792	0.0971	0.360
11093	0.27603	0.011
140766	0.1897	0.069
170689	0.0139	0.890
170690	0.1423	0.180
170691	0.1248	0.250
170692	0.0614	0.580
9510	0.1428	0.160
9509	0.0256	0.800
9508	0.0252	0.810
9507	0.2019	0.055
11096	0.1114	0.300
