100133144	0.1487	1.2e-01
100134869	-0.0181	8.5e-01
10357	-0.00652	9.5e-01
10431	0.0521	6.1e-01
155060	-0.0518	6.1e-01
390284	0.0441	6.2e-01
57714	0.12153	2.0e-01
645851	-0.0316	7.2e-01
653553	0.0195	8.3e-01
729884	0.1648	8.0e-02
8225	-0.2227	2.2e-02
90288	-0.3127	1.2e-03
1	-0.2378	2.2e-02
87769	-0.0500	6.0e-01
144568	0.1411	1.6e-01
2	-0.0126	8.9e-01
53947	-0.230	1.7e-02
8086	-0.0906	3.4e-01
65985	-0.00417	9.6e-01
51166	0.0126	9.0e-01
79719	0.0852	3.4e-01
22848	0.3160	1.4e-03
14	-0.1410	1.5e-01
57505	-0.0442	6.6e-01
80755	-0.1362	1.6e-01
16	0.1996	4.8e-02
60496	0.0781	4.2e-01
132949	0.1943	3.5e-02
10157	-0.1780	7.0e-02
26574	-0.0899	3.5e-01
9625	-0.3778	2.2e-04
18	-0.1854	4.8e-02
10349	-0.1376	2.0e-01
79963	-0.0812	4.0e-01
26154	0.219	2.6e-02
154664	0.0173	8.5e-01
650655	-0.1484	1.1e-01
19	0.2513	6.8e-03
20	0.0388	7.0e-01
21	-0.1043	2.7e-01
24	0.0411	6.9e-01
23461	-0.0455	6.4e-01
23460	0.0433	6.7e-01
10347	-0.0621	5.3e-01
10351	-0.0426	6.8e-01
10350	0.0115	9.1e-01
23456	0.0415	6.5e-01
5243	-0.1384	1.7e-01
5244	-0.1088	2.4e-01
340273	0.0780	4.4e-01
10058	0.1899	5.4e-02
22	0.2863	1.6e-03
11194	-0.0479	6.2e-01
23457	0.1417	1.3e-01
89845	-0.0343	7.1e-01
85320	0.0540	5.9e-01
4363	0.0832	4.1e-01
1244	0.3400	4.3e-04
8714	0.00431	9.6e-01
10257	0.08635	3.5e-01
10057	0.1441	1.3e-01
653190	-0.0663	5.4e-01
730013	-0.1108	2.5e-01
368	-0.0659	5.0e-01
6833	0.00167	9.9e-01
10060	0.2096	3.6e-02
215	0.0680	4.6e-01
225	-0.1563	1.2e-01
5825	-0.0242	7.8e-01
5826	-0.2534	1.2e-02
6059	0.2415	1.6e-02
23	0.1460	1.4e-01
10061	-0.00838	9.3e-01
55324	0.0299	7.5e-01
9619	-0.0496	5.9e-01
9429	-0.0268	7.8e-01
64137	0.1339	1.6e-01
64240	-0.0706	4.7e-01
55347	-0.1447	1.4e-01
83451	-0.0487	6.2e-01
145447	-0.0809	4.1e-01
26090	-0.0164	8.6e-01
84945	-0.0185	8.4e-01
25864	-0.4250	1.1e-05
84836	-0.2099	3.5e-02
116236	-0.0805	4.0e-01
84696	-0.1726	6.7e-02
11057	-0.0188	8.4e-01
171586	-0.0734	4.1e-01
63874	-0.0536	5.7e-01
51099	0.0218	8.2e-01
57406	-0.1894	5.2e-02
79575	-0.285	3.3e-03
10006	0.1101	2.3e-01
10152	-0.0698	4.8e-01
25890	-0.0877	3.8e-01
51225	-0.1888	4.5e-02
25	0.0993	3.0e-01
27	0.1560	1.0e-01
3983	0.1636	8.9e-02
84448	-0.00157	9.9e-01
22885	0.0887	3.7e-01
28	-0.1100	2.7e-01
26	0.1636	7.0e-02
29	-0.0887	3.2e-01
29777	-0.0489	6.1e-01
80325	-0.1833	7.5e-02
25841	0.1720	7.9e-02
30	-0.3592	1.7e-04
10449	-0.0210	8.3e-01
31	0.1602	1.1e-01
32	-0.0265	8.0e-01
80724	0.0124	9.0e-01
84129	-0.0995	3.2e-01
27034	0.0290	7.6e-01
28976	0.0661	5.0e-01
33	-0.1279	2.3e-01
34	-0.0239	8.0e-01
36	-0.2926	3.7e-03
35	-0.1888	6.2e-02
37	-0.250	1.3e-02
176	0.2233	2.3e-02
9744	-0.2647	5.9e-03
23527	0.2252	1.4e-02
116983	0.0804	4.1e-01
38	-0.00806	9.4e-01
39	0.0212	8.4e-01
64746	0.2400	1.4e-02
79777	-0.2637	9.4e-03
91452	0.2962	1.6e-03
84320	-0.0107	9.0e-01
414149	0.0715	4.7e-01
40	-0.0514	5.9e-01
41	0.1194	1.9e-01
9311	-0.0840	3.3e-01
55515	0.0108	9.1e-01
84680	-0.1258	2.1e-01
65057	-0.0692	4.6e-01
59272	0.0574	5.7e-01
340485	0.0687	4.6e-01
55331	0.1163	2.4e-01
1636	0.00653	9.4e-01
43	-0.0968	3.0e-01
22985	-0.1241	1.8e-01
47	0.1370	1.6e-01
57001	-0.0926	3.2e-01
48	-0.0408	6.5e-01
50	-0.0587	5.1e-01
26027	-0.0379	6.8e-01
55856	0.0143	8.9e-01
641371	-0.2605	2.7e-03
10965	-0.2339	5.8e-03
122970	-0.2019	1.6e-02
641372	-0.0673	4.7e-01
11332	0.0939	3.8e-01
10005	0.0149	8.7e-01
23597	0.08343	3.9e-01
51	0.0523	6.0e-01
8309	0.0341	7.3e-01
8310	0.0565	5.7e-01
55289	-0.0436	6.5e-01
52	0.0696	4.7e-01
53	-0.1641	6.1e-02
54	-0.1455	1.5e-01
51205	-0.1168	2.2e-01
92370	-0.0847	3.8e-01
55	-0.0713	4.7e-01
84519	-0.0861	3.4e-01
93953	0.1799	4.7e-02
56	0.0508	6.1e-01
49	-0.12808	1.8e-01
23205	-0.0117	9.0e-01
81616	-0.0523	5.8e-01
80221	-0.2245	1.6e-02
197322	-0.0626	5.1e-01
2180	0.2479	1.0e-02
2181	0.1372	1.6e-01
2182	-0.0512	5.7e-01
51703	-0.2777	2.0e-03
23305	-0.0137	8.8e-01
116285	-0.1887	5.4e-02
6296	-0.0719	4.6e-01
54988	0.0398	7.1e-01
84532	-0.0968	3.1e-01
55902	-0.08504	3.6e-01
79611	0.1288	1.9e-01
58	-0.0900	3.4e-01
59	-0.0286	7.6e-01
345651	0.0153	8.8e-01
60	0.00909	9.2e-01
70	0.0764	4.2e-01
71	-0.0917	3.3e-01
72	-0.1151	2.0e-01
86	0.1385	1.8e-01
81569	0.2276	1.5e-02
87	-0.0638	5.1e-01
88	0.1105	2.3e-01
81	-0.0850	3.6e-01
55860	0.0753	4.5e-01
10121	0.0237	8.0e-01
10120	-0.0704	4.6e-01
10097	0.1937	6.2e-02
57180	-0.154	1.4e-01
653857	-0.0141	8.8e-01
10096	0.1587	1.4e-01
79913	-0.00347	9.7e-01
64431	0.2456	6.6e-03
93973	-0.1084	2.4e-01
91	0.0667	4.9e-01
130399	-0.0207	8.4e-01
90	0.1247	2.2e-01
92	-0.0625	5.3e-01
93	0.0229	8.1e-01
94	-0.0184	8.5e-01
95	-0.2466	1.2e-02
91703	-0.1092	2.6e-01
97	-0.1590	1.2e-01
98	0.0437	6.6e-01
161823	0.0337	7.1e-01
102	0.1985	4.4e-02
4185	0.0342	7.2e-01
8038	0.0608	5.5e-01
8751	0.1836	5.1e-02
6868	0.1030	2.9e-01
8728	0.0219	8.2e-01
8748	-0.2247	2.0e-02
145241	0.0571	5.7e-01
